,Job Title,Experience,Position,Education,Company Name,Salary Estimate,Location,Rating,Is Remote,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
88,Analytics & Data Science,5,-1,BACHELOR,Pournader & Company,-1,"Dallas, TX",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 13:44:18.643564
89,Data Scientist,-1,-1,MASTER,Silver Edge,"$108,449 /yr (est.)","Reston, VA",-1,False,201 to 500 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 13:44:20.438482
90,Junior AI Engineer,1,SENIOR,BACHELOR,"Octo
4.2","$87,503 /yr (est.)","Reston, VA",4.2,False,1001 to 5000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.0,3.9,4.0,3.9,4.2,2023-05-11 13:44:26.068368
91,Data Scientist,4,SENIOR,BACHELOR,"Overstock.com Inc.
3.1","$99,000 /yr (est.)",Remote,3.1,True,1001 to 5000 Employees,1999,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$1 to $5 billion (USD),3.2,3.0,3.4,2.8,3.4,2023-05-11 13:44:28.892707
92,BUSINESS INTELLIGENCE ANALYST I,-1,-1,BACHELOR,"MU Health Care
3.4","$78,042 /yr (est.)","Columbia, MO",3.4,False,5001 to 10000 Employees,1956,Hospital,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),3.6,3.4,3.3,2.8,3.1,2023-05-11 13:44:31.535640
93,Data Engineer (7564D),5,-1,BACHELOR,"Costco Wholesale
4.0","$117,500 /yr (est.)","Dallas, TX",4.0,False,10000+ Employees,1976,Company - Public,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,3.9,4.3,3.8,3.4,3.3,2023-05-11 13:44:34.609853
94,Data Scientist,5,SENIOR,BACHELOR,"Octo
4.2","$115,535 /yr (est.)","Reston, VA",4.2,False,1001 to 5000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.0,3.9,4.0,3.9,4.2,2023-05-11 13:44:39.134619
95,Data Science Engineer,-1,-1,MASTER,"SunSoft Technologies
4.4","$78,948 /yr (est.)","Farmington Hills, MI",4.4,False,1 to 50 Employees,2000,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),4.3,4.5,4.5,4.5,4.5,2023-05-11 13:44:41.955745
96,Data Science Co-op,-1,JUNIOR,BACHELOR,"Abiomed
3.6","$105,551 /yr (est.)","Danvers, MA",3.6,False,1001 to 5000 Employees,1981,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.8,3.7,3.6,3.3,2.9,2023-05-11 13:44:45.079920
97,"Co-Op, Data Science (Hybrid)",-1,SENIOR,BACHELOR,"Insulet Corporation
3.8",-1,"Acton, MA",3.8,False,1001 to 5000 Employees,2000,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),3.7,3.9,3.9,3.5,3.6,2023-05-11 13:44:47.856016
