,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
74,"$67,500 /yr (est.)",67500.0,Technical Support Analyst,0,1,1,"Aflac, Incorporated
3.8",South Carolina,3.8,0,68,10000+ Employees,1955,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),3.7,3.8,3.9,3.5,3.8,2023-05-22 02:29:11.142737,yr
75,"$41,546 /yr (est.)",41546.0,Desktop Support Technician,0,1,-1,"SUN Behavioral Houston
3.0","Houston, TX",3.0,0,10,1001 to 5000 Employees,2013,Company - Private,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),3.0,3.2,3.0,2.5,3.2,2023-05-22 02:29:14.485305,yr
76,"$75,884 /yr (est.)",75884.0,IT Software Developer,0,1,1,"Miami-Dade County
3.7",United States,3.7,0,117,10000+ Employees,1906,Government,Municipal Agencies,Government & Public Administration,$1 to $5 billion (USD),3.9,3.8,3.6,3.4,3.8,2023-05-22 02:29:17.926473,yr
77,$30.00 /hr (est.),62400.0,Help Desk Specialist level 2,-1,-1,-1,"Mantek Solutions
5.0","Commerce, CA",5.0,0,50,1 to 50 Employees,1973,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.8,5.0,4.8,5.0,4.8,2023-05-22 02:29:20.567204,hr
78,"$69,723 /yr (est.)",69723.0,IT Support Associate,3,1,0,"ACLU
3.6","New York, NY",3.6,0,103,201 to 500 Employees,1920,Nonprofit Organization,Membership Organizations,Management & Consulting,$25 to $100 million (USD),3.4,4.2,3.2,3.4,3.3,2023-05-22 02:29:22.801286,yr
79,"$44,542 /yr (est.)",44542.0,Desktop Support Analyst 1,2,1,1,"Louisiana State University
3.9","Baton Rouge, LA",3.9,0,-1,-1,-1,-1,-1,-1,-1,3.6,3.2,3.7,3.6,3.8,2023-05-22 02:29:26.624583,yr
80,"$62,500 /yr (est.)",62500.0,I.T. Support Engineer,2,2,1,"Cyemptive Technologies
3.8","Everett, WA",3.8,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.4,3.6,3.3,4.1,2023-05-22 02:29:30.934610,yr
81,$26.50 /hr (est.),55120.0,IT Help Desk Technician,0,2,-1,"Schomp Automotive
3.0","Highlands Ranch, CO",3.0,0,82,501 to 1000 Employees,1941,Company - Private,Vehicle Dealers,Retail & Wholesale,Unknown / Non-Applicable,3.3,3.2,3.1,3.1,2.7,2023-05-22 02:29:35.598533,hr
82,$37.00 /hr (est.),76960.0,C# Developer,0,1,-1,Plexus enterprises,"Johnson City, TN",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 02:29:39.185570,hr
83,"$135,570 /yr (est.)",135570.0,IT Linux Client Engineer,7,1,-1,"INTEL
4.2",Remote,4.2,1,55,10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.0,4.0,4.2,3.7,4.1,2023-05-22 02:29:45.229867,yr
