,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
100,Data Scientist (All Levels),,3,BACHELOR,JUNIOR,"Reston, VA",0,1001 to 5000 Employees,5,1996,27,Business Consulting,Management & Consulting,$100 to $500 million (USD),6,Nonprofit Organization,4.5,4.1,4.0,4.5,4.2,4.5,Noblis,2023-05-11 13:44:58.046004
101,Associate Data Engineer,,160,BACHELOR,JUNIOR,"Hartford, CT",0,10000+ Employees,7,1853,170,Insurance Carriers,Insurance,$10+ billion (USD),9,Company - Public,4.0,4.1,4.1,4.1,3.8,3.9,"The Travelers Companies, Inc.",2023-05-11 13:45:01.377801
102,Data Science Educator - Python (Full Time),,-1,BACHELOR,-1,Remote,1,51 to 200 Employees,2,2013,10,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),1,Company - Private,4.9,4.4,4.7,5.0,4.8,4.8,RStudio,2023-05-11 13:45:04.458275
103,Data Engineer,,5,BACHELOR,-1,Remote,1,51 to 200 Employees,2,-1,-1,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Public,4.0,3.7,3.9,4.2,4.0,4.2,LEAFWELL,2023-05-11 13:45:07.038124
104,Data Engineer,,2,MASTER,SENIOR,Remote,1,201 to 500 Employees,3,1978,45,Education & Training Services,Education,Unknown / Non-Applicable,-1,Company - Private,4.0,3.5,3.8,4.1,3.6,4.3,O'Reilly Media,2023-05-11 13:45:13.811316
105,Data Engineer,,3,BACHELOR,-1,Remote,1,1001 to 5000 Employees,5,1997,26,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.6,4.4,4.1,4.6,4.4,4.5,DataArt,2023-05-11 13:45:17.730942
106,AI/ML Engineer,,2,BACHELOR,-1,Dallas-Fort Worth,0,5001 to 10000 Employees,6,2000,23,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),7,Company - Public,3.6,3.1,3.4,3.5,3.0,3.7,Avaya,2023-05-11 13:45:20.939500
107,Data Scientist,,-1,BACHELOR,-1,"Chantilly, VA",0,10000+ Employees,7,1963,60,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),9,Company - Public,3.1,3.1,3.1,2.9,2.7,2.8,CVS Health,2023-05-11 13:45:23.870106
108,"Co-op, Data Engineer",,-1,MASTER,SENIOR,"Cambridge, MA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Exo Therapeutics,2023-05-11 13:45:26.663590
109,Data Analyst,,2,BACHELOR,-1,"San Francisco, CA",0,51 to 200 Employees,2,2006,17,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.4,4.1,4.0,4.7,4.3,4.5,Moove-it,2023-05-11 13:45:28.907093
110,Data Engineer - Data Science & Analytics,,5,BACHELOR,-1,"Dallas, TX",0,10000+ Employees,7,1976,47,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Public,4.0,3.9,4.3,3.8,3.4,3.3,Costco Wholesale,2023-05-11 13:45:31.592398
111,Data Scientist,,3,BACHELOR,-1,Remote,1,1 to 50 Employees,1,2007,16,Internet & Web Services,Information Technology,$25 to $100 million (USD),4,Company - Private,3.4,3.0,3.0,3.6,2.7,3.4,Medicx Health,2023-05-11 13:45:34.484690
