,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
208,"$92,902 /yr (est.)",92902.0,Data Engineer,0,1,1,"American Power & Gas
2.5", FL,2.5,0,13,201 to 500 Employees,2010,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$100 to $500 million (USD),2.6,2.8,2.4,2.7,2.7,2023-05-23 17:09:46.584297,yr
209,"$119,000 /yr (est.)",119000.0,Data Engineer,0,2,1,"MCG Health
4.6", WA,4.6,0,35,201 to 500 Employees,1988,Subsidiary or Business Segment,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,4.3,4.4,4.6,4.5,4.5,2023-05-23 17:09:50.483113,yr
211,"$85,000 /yr (est.)",85000.0,Data Engineer (Junior),3,1,-1,Schober Consulting LLC, MN,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:10:01.499975,yr
212,"$106,696 /yr (est.)",106696.0,Data Engineer,5,1,-1,"InfoQuest Consulting Group Inc.
4.5", PA,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.1,4.5,4.3,3.1,2023-05-23 17:10:07.210766,yr
213,$62.50 /hr (est.),130000.0,Data Engineer,11,2,-1,"Okaya infocom
4.0", NJ,4.0,0,17,Unknown,2006,Self-employed,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.7,3.8,3.9,3.5,3.8,2023-05-23 17:10:11.498239,hr
214,$42.50 /hr (est.),88400.0,Snowflake Data Engineer,5,1,-1,Futuretech Consultants LLC, MS,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:10:15.565013,hr
215,"$72,014 /yr (est.)",72014.0,Associate Data Engineer,3,1,1,"Benson Hill
3.5", MO,3.5,0,11,51 to 200 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 million (USD),3.4,3.8,3.7,3.1,3.2,2023-05-23 17:10:21.366220,yr
216,"$110,441 /yr (est.)",110441.0,Senior AWS Data Engineer,10,1,1,"JSR Tech Consulting
5.0", NJ,5.0,0,8,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),5.0,4.0,5.0,5.0,5.0,2023-05-23 17:10:25.625473,yr
217,"$97,837 /yr (est.)",97837.0,Data Engineer,0,1,-1,"Southern Glazer’s Wine and Spirits
3.6", TX,3.6,0,55,10000+ Employees,1968,Company - Private,Wholesale,Retail & Wholesale,$10+ billion (USD),3.5,3.6,3.4,3.2,3.3,2023-05-23 17:10:29.140794,yr
218,"$83,685 /yr (est.)",83685.0,SQL Data Engineer - Snowflake,6,2,-1,"Perceptive Recruiting, LLC", SC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:10:33.129801,yr
219,$57.50 /hr (est.),119600.0,AWS Data Engineer,5,1,1,Sthavirsoft Inc, NJ,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:10:40.043571,hr
220,"$85,000 /yr (est.)",85000.0,Data Engineer,2,1,0,DocsInk LLC, NC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:10:46.193022,yr
222,$72.50 /hr (est.),150800.0,Big Data Engineer,1,2,1,"Fuge Technologies Inc
4.7", NJ,4.7,0,-1,-1,-1,-1,-1,-1,-1,4.7,4.5,4.7,4.3,4.5,2023-05-23 17:11:00.292627,hr
223,"$95,595 /yr (est.)",95595.0,Data Analytics Engineer - SOCOM,0,1,-1,"Barbaricum
3.9", FL,3.9,0,15,51 to 200 Employees,2008,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),3.6,3.8,4.1,3.8,3.5,2023-05-23 17:11:05.213703,yr
224,"$112,500 /yr (est.)",112500.0,SQL Data Engineer,3,1,-1,"HealthComp
3.2", TX,3.2,0,29,501 to 1000 Employees,1994,Company - Private,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),2.9,2.7,2.8,2.3,2.8,2023-05-23 17:11:09.415412,yr
225,"$117,500 /yr (est.)",117500.0,Jr data engineer,3,1,-1,"Kalani Consulting
5.0",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,4.0,5.0,5.0,5.0,5.0,2023-05-23 17:11:12.239063,yr
226,$60.00 /hr (est.),124800.0,Big Data Engineer,8,2,-1,keasis Inc, DE,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:11:17.122390,hr
228,"$130,500 /yr (est.)",130500.0,Big Data Engineer,0,1,-1,"Basis Technologies
4.3", IL,4.3,0,22,501 to 1000 Employees,2001,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.1,4.3,4.3,4.0,4.3,2023-05-23 17:11:29.168401,yr
229,$61.87 /hr (est.),128689.6,Data Engineer,6,1,-1,DataPattern, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:11:33.685968,hr
230,"$105,802 /yr (est.)",105802.0,Data Engineer,0,1,-1,"Timescale
5.0", FL,5.0,0,8,51 to 200 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.9,4.5,4.9,4.9,4.7,2023-05-23 17:11:40.571587,yr
231,"$115,231 /yr (est.)",115231.0,Big Data Engineer,0,1,-1,Softwhiz, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:11:44.825742,yr
232,$75.00 /hr (est.),156000.0,Snowflake Data Engineer,8,1,-1,"BigLynx Computer Software
4.9", WA,4.9,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.6,4.8,4.9,4.8,2023-05-23 17:12:00.082912,hr
233,$43.38 /hr (est.),90230.4,Data Engineer,10,1,1,"Infomatics Corp
4.7",Remote,4.7,1,18,51 to 200 Employees,2005,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),4.7,4.5,4.6,4.6,4.6,2023-05-23 17:12:04.095543,hr
234,$75.00 /hr (est.),156000.0,AWS Data Engineer(Tech Lead),8,2,1,"BigLynx Computer Software
4.9", WA,4.9,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.6,4.8,4.9,4.8,2023-05-23 17:12:07.916141,hr
235,"$96,680 /yr (est.)",96680.0,Data Engineer,3,1,1,"AvidXchange
3.7", CA,3.7,0,23,1001 to 5000 Employees,2000,Company - Public,Software Development,Information Technology,$100 to $500 million (USD),3.7,3.6,3.8,3.4,3.9,2023-05-23 17:12:12.802370,yr
236,"$119,000 /yr (est.)",119000.0,Data Engineer,0,2,1,"MCG Health
4.6", WA,4.6,0,35,201 to 500 Employees,1988,Subsidiary or Business Segment,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,4.3,4.4,4.6,4.5,4.5,2023-05-23 17:12:16.196895,yr
237,"$85,000 /yr (est.)",85000.0,Data Engineer (Junior),3,1,-1,Schober Consulting LLC, MN,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 17:12:20.181066,yr
238,"$92,902 /yr (est.)",92902.0,Data Engineer,0,1,1,"American Power & Gas
2.5", FL,2.5,0,13,201 to 500 Employees,2010,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$100 to $500 million (USD),2.6,2.8,2.4,2.7,2.7,2023-05-23 17:12:26.649020,yr
239,"$97,837 /yr (est.)",97837.0,Data Engineer,0,1,-1,"Southern Glazer’s Wine and Spirits
3.6", TX,3.6,0,55,10000+ Employees,1968,Company - Private,Wholesale,Retail & Wholesale,$10+ billion (USD),3.5,3.6,3.4,3.2,3.3,2023-05-23 17:12:30.865256,yr
