,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit
126,"$80,000 /yr (est.)",80000.0,Test Engineer,2,1,-1,"ebm-papst, Inc
3.4","Farmington, CT",3.4,0,28,201 to 500 Employees,1995,Company - Private,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD),2.7,3.1,3.2,3.5,3.3,yr
127,$52.50 /hr (est.),109200.0,"Engineer, Software Quality - 30623",5,1,-1,"Infinite Computing Systems
3.5","Burlington, MA",3.5,0,24,1001 to 5000 Employees,1999,Company - Public,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.5,3.2,3.4,3.2,3.4,hr
128,$27.00 /hr (est.),56160.0,Junior Business & Technology Analyst - Quality Assurance,1,1,1,"Axos Bank
3.6","San Diego, CA",3.6,0,23,1001 to 5000 Employees,2000,Company - Public,Banking & Lending,Financial Services,$500 million to $1 billion (USD),3.6,3.1,3.4,3.4,3.5,hr
130,"$115,000 /yr (est.)",115000.0,Senior QA Automation Engineer (remote),6,1,1,"CIBERSQL,LLC
4.8",Remote,4.8,1,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.5,4.5,4.3,4.3,4.5,yr
132,"$55,000 /yr (est.)",55000.0,QA Automation Engineer,2,1,-1,"Rational Enterprise
3.3","Albany, NY",3.3,0,17,51 to 200 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.2,3.0,2.9,3.6,yr
172,$15.00 /hr (est.),31200.0,Software Tester,-1,-1,-1,"ApplicantPro
4.7",Remote,4.7,1,17,51 to 200 Employees,2006,Company - Private,Internet & Web Services,Information Technology,$5 to $25 million (USD),4.5,4.2,4.7,4.5,4.6,hr
198,$40.00 /hr (est.),83200.0,QA Engineer,-1,-1,-1,Hire IT People Inc,"El Segundo, CA",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
209,"$79,393 /yr (est.)",79393.0,QA Engineer,0,2,-1,"Convene Technologies
3.6","San Antonio, TX",3.6,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.1,2.9,3.1,2.9,3.1,yr
222,$52.50 /hr (est.),109200.0,QA Manual Tester,10,1,-1,ExpressTech,"Las Vegas, NV",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
227,"$94,734 /yr (est.)",94734.0,QA Engineer,0,1,-1,2Dream,"Pleasanton, CA",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
