,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
111,"$57,055 /yr (est.)",57055.0,QA Validation Specialist,-1,-1,-1,"CARsgen Therapeutics Corpora
2.2", NC,2.2,0,-1,-1,-1,-1,-1,-1,-1,2.6,2.2,2.6,2.6,1.8,2023-05-25 10:52:20.726430,yr
112,"$57,476 /yr (est.)",57476.0,Quality Control Specialist,-1,-1,-1,"IPSEN
3.9", MA,3.9,0,94,5001 to 10000 Employees,1929,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),3.6,4.0,3.9,3.6,3.6,2023-05-25 10:52:24.197263,yr
113,"$47,302 /yr (est.)",47302.0,Production Scheduler Specialist,-1,-1,-1,"Festo Corporation
4.1", OH,4.1,0,98,10000+ Employees,1925,Company - Private,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),3.5,3.6,4.0,3.6,4.0,2023-05-25 10:52:27.005336,yr
114,"$109,849 /yr (est.)",109849.0,Supply Chain Manager,-1,-1,-1,"ABB
4.0", MO,4.0,0,140,10000+ Employees,1883,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.6,3.9,3.5,3.8,2023-05-25 10:52:29.555544,yr
115,"$49,013 /yr (est.)",49013.0,Logistics Inventory Management Specialist,-1,-1,-1,"Hyundai Mobis
3.5", GA,3.5,0,46,5001 to 10000 Employees,1977,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.3,3.4,3.2,2.9,3.3,2023-05-25 10:52:32.409270,yr
116,"$45,314 /yr (est.)",45314.0,eCommerce Marketing Specialist,-1,-1,-1,"Inventive-Group
3.5", ID,3.5,0,17,51 to 200 Employees,2006,Company - Private,Machinery Manufacturing,Manufacturing,$5 to $25 million (USD),3.5,3.1,3.6,3.2,3.1,2023-05-25 10:52:34.895340,yr
117,"$76,137 /yr (est.)",76137.0,"Sr. Specialist, Distribution and Logistics",-1,-1,-1,"Moderna Therapeutics
3.6", MA,3.6,0,12,1001 to 5000 Employees,2011,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.7,4.4,3.5,3.3,2.8,2023-05-25 10:52:37.865945,yr
118,"$73,238 /yr (est.)",73238.0,Lean Manufacturing Specialist,-1,-1,-1,"Hubbell Incorporated
3.5", MO,3.5,0,135,10000+ Employees,1888,Company - Public,Electronics Manufacturing,Manufacturing,$1 to $5 billion (USD),3.3,3.4,3.3,2.9,3.5,2023-05-25 10:52:40.715225,yr
119,"$73,843 /yr (est.)",73843.0,Continuous Improvement Specialist,-1,-1,-1,"IMEC Illinois Manufacturing Excellence Center
3.7", IL,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.8,3.7,3.6,4.1,2023-05-25 10:52:43.493426,yr
120,"$85,000 /yr (est.)",85000.0,Sourcing Specialist (Starlink),-1,-1,-1,"Swarm Technologies
4.2", CA,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,2023-05-25 10:52:54.152849,yr
121,"$86,525 /yr (est.)",86525.0,Manufacturing Supervisor (B/Night-Shift) 72688,-1,-1,-1,"Samsung Austin Semiconductor
3.5", TX,3.5,0,27,1001 to 5000 Employees,1996,Subsidiary or Business Segment,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable,3.5,3.7,3.1,2.9,3.2,2023-05-25 10:52:56.974718,yr
122,"$67,818 /yr (est.)",67818.0,Continuous Improvement Specialist,-1,-1,-1,"ABC Technologies
3.5", TN,3.5,0,49,5001 to 10000 Employees,1974,Company - Private,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable,3.4,3.3,3.2,3.0,3.1,2023-05-25 10:52:59.647643,yr
123,"$79,814 /yr (est.)",79814.0,NAO PAO Supply Chain Planner,-1,-1,-1,"CPChem
4.1", TX,4.1,0,23,1001 to 5000 Employees,2000,Company - Private,Chemical Manufacturing,Manufacturing,$10+ billion (USD),3.4,4.0,3.7,3.1,3.4,2023-05-25 10:53:02.269905,yr
124,"$85,000 /yr (est.)",85000.0,Sourcing Specialist (Starlink),-1,-1,-1,"SpaceX
4.0", CA,4.0,0,21,5001 to 10000 Employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.1,3.8,3.8,3.4,2.7,2023-05-25 10:53:05.111829,yr
125,"$47,302 /yr (est.)",47302.0,Production Scheduler Specialist,-1,-1,-1,"Festo Corporation
4.1", OH,4.1,0,98,10000+ Employees,1925,Company - Private,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),3.5,3.6,4.0,3.6,4.0,2023-05-25 10:53:07.772614,yr
126,"$80,079 /yr (est.)",80079.0,Sr. Associate Continuous Improvement Specialist,-1,-1,-1,"Pfizer
4.1", MA,4.1,0,174,10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.8,4.0,4.0,3.6,3.9,2023-05-25 10:53:10.678990,yr
127,"$78,018 /yr (est.)",78018.0,Senior Supply Chain Specialist,-1,-1,-1,"Abiomed
3.7", MA,3.7,0,42,1001 to 5000 Employees,1981,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.9,3.8,3.6,3.2,2.8,2023-05-25 10:53:13.705420,yr
128,"$82,658 /yr (est.)",82658.0,Production Planner Specialist,-1,-1,-1,"Stellant Systems
3.0", CA,3.0,0,-1,-1,-1,-1,-1,-1,-1,2.6,2.9,2.2,2.2,3.5,2023-05-25 10:53:16.497166,yr
129,"$68,500 /yr (est.)",68500.0,R&D Project Specialist,-1,-1,-1,Serenity Kids, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 10:53:20.400687,yr
130,"$49,013 /yr (est.)",49013.0,Logistics Inventory Management Specialist,-1,-1,-1,"Hyundai Mobis
3.5", GA,3.5,0,46,5001 to 10000 Employees,1977,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.3,3.4,3.2,2.9,3.3,2023-05-25 10:53:25.851939,yr
131,"$102,500 /yr (est.)",102500.0,Sr. Sourcing Specialist (Falcon & Dragon),-1,-1,-1,"Swarm Technologies
4.2", CA,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,2023-05-25 10:53:28.509330,yr
132,"$70,339 /yr (est.)",70339.0,Strategic Sourcing Specialist,-1,-1,-1,"Specialty Product Technologies
3.2", NC,3.2,0,7,10000+ Employees,2016,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 billion (USD),3.2,3.5,3.4,2.9,3.3,2023-05-25 10:53:31.305295,yr
133,"$71,547 /yr (est.)",71547.0,Continuous Improvement Specialist,-1,-1,-1,"Metrie
3.6", WA,3.6,0,97,1001 to 5000 Employees,1926,Company - Private,Wood & Paper Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.4,3.6,3.4,3.4,3.7,2023-05-25 10:53:33.972446,yr
134,"$50,122 /yr (est.)",50122.0,Indirect Sourcing Specialist,-1,-1,-1,"Wabtec
3.8", PA,3.8,0,154,10000+ Employees,1869,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),3.5,3.5,3.6,3.4,3.5,2023-05-25 10:53:36.690431,yr
135,"$80,000 /yr (est.)",80000.0,Procurement Specialist,-1,-1,-1,"DMG MORI USA, INC
3.4", CA,3.4,0,75,1001 to 5000 Employees,1948,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.1,3.3,3.1,2.7,2.9,2023-05-25 10:53:39.390767,yr
136,"$94,250 /yr (est.)",94250.0,Supply Chain Specialist (Hybrid),-1,-1,-1,"KLA Corporation
4.0", MI,4.0,0,47,5001 to 10000 Employees,1976,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),3.8,3.8,4.0,3.6,3.6,2023-05-25 10:53:42.813923,yr
137,"$94,250 /yr (est.)",94250.0,Supply Chain Specialist (Hybrid),-1,-1,-1,"KLA Corporation
4.0", MI,4.0,0,47,5001 to 10000 Employees,1976,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),3.8,3.8,4.0,3.6,3.6,2023-05-25 10:53:45.909100,yr
138,"$69,607 /yr (est.)",69607.0,Continuous Improvement Specialist,-1,-1,-1,"Allied Stone Inc
2.7", TX,2.7,0,24,501 to 1000 Employees,1999,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,2.3,2.0,2.2,2.4,2.9,2023-05-25 10:53:49.044539,yr
139,"$85,000 /yr (est.)",85000.0,Procurement Manager,-1,-1,-1,CATALO Natural Health Foods Limited, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 10:53:52.052534,yr
141,$31.00 /hr (est.),64480.0,Supply Chain Coordinator,-1,-1,-1,"MilliporeSigma
3.9", CA,3.9,0,9,10000+ Employees,2014,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.8,3.8,3.8,3.4,3.8,2023-05-25 10:54:01.955129,hr
142,"$76,137 /yr (est.)",76137.0,"Sr. Specialist, Distribution and Logistics",-1,-1,-1,"Moderna Therapeutics
3.6", MA,3.6,0,12,1001 to 5000 Employees,2011,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.7,4.4,3.5,3.3,2.8,2023-05-25 10:54:05.024024,yr
143,"$61,000 /yr (est.)",61000.0,Logistics Solutions Specialist,-1,-1,-1,"Daikin Comfort Technologies
3.6", TX,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.4,3.5,3.3,3.0,3.2,2023-05-25 10:54:07.857064,yr
144,"$89,126 /yr (est.)",89126.0,Senior Continuous Improvement Specialist,-1,-1,-1,"Perrigo
3.7", MI,3.7,0,136,10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD),3.3,3.5,3.5,3.2,3.4,2023-05-25 10:54:12.008783,yr
145,"$48,127 /yr (est.)",48127.0,Quality Specialist,-1,-1,-1,"Nestlé Nutrition R&D
4.1", MI,4.1,0,156,10000+ Employees,1867,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.8,4.1,3.7,3.6,2023-05-25 10:54:14.766849,yr
146,"$51,294 /yr (est.)",51294.0,Quality Specialist,-1,-1,-1,"Hella
3.9", GA,3.9,0,124,10000+ Employees,1899,Company - Private,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),3.8,3.8,3.9,3.5,3.7,2023-05-25 10:54:17.763446,yr
147,"$69,390 /yr (est.)",69390.0,Engineer I,-1,-1,-1,"corbion
3.8", NJ,3.8,0,120,1001 to 5000 Employees,1903,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),3.3,3.9,3.6,3.4,3.6,2023-05-25 10:54:20.571266,yr
149,"$50,912 /yr (est.)",50912.0,Procurement Associate,-1,-1,-1,"CF Industries Holdings, Inc.
3.6", LA,3.6,0,77,1001 to 5000 Employees,1946,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD),3.5,4.0,3.4,3.1,3.0,2023-05-25 10:54:30.269329,yr
150,"$85,000 /yr (est.)",85000.0,Business Optimization Specialist (FT),-1,-1,-1,"Master's Transportation
1.1", MO,1.1,0,-1,-1,-1,-1,-1,-1,-1,1.7,2.0,1.2,1.0,2.2,2023-05-25 10:54:40.918209,yr
151,"$79,000 /yr (est.)",79000.0,Supply Chain Optimization Specialist,-1,-1,-1,"North Carolina State University
4.3", NC,4.3,0,136,1001 to 5000 Employees,1887,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),4.0,3.6,4.2,4.0,4.0,2023-05-25 10:54:44.942396,yr
152,"$85,000 /yr (est.)",85000.0,Sourcing Specialist (Starlink),-1,-1,-1,"Swarm Technologies
4.2", CA,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,2023-05-25 10:54:47.839313,yr
153,"$87,185 /yr (est.)",87185.0,"Specialist, Logistics Planning",-1,-1,-1,"Fisker Inc
3.6",Remote,3.6,1,7,501 to 1000 Employees,2016,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,3.8,3.5,3.6,3.5,3.6,2023-05-25 10:54:50.710349,yr
