,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
402,"$71,642 /yr (est.)",71642.0,Facilities Engineer,-1,-1,-1,Cytiva, SC,3.8,0,3,5001 to 10000 Employees,2020,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),3.5,3.6,3.8,3.3,3.8,2023-05-25 10:39:15.417100,yr
403,"$69,604 /yr (est.)",69604.0,Maintenance Reliability Engineer - BFG3,-1,-1,-1,Michelin, AL,4.1,0,134,10000+ Employees,1889,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.6,4.1,3.6,3.9,2023-05-25 10:39:20.772970,yr
404,"$83,424 /yr (est.)",83424.0,"Reliability Engineer, Rotating Equipment",-1,-1,-1,INEOS Styrolution America LLC, TX,4.0,0,12,1001 to 5000 Employees,2011,Subsidiary or Business Segment,Chemical Manufacturing,Manufacturing,$1 to $5 billion (USD),3.8,4.3,3.6,3.5,4.0,2023-05-25 10:39:26.319777,yr
405,"$61,727 /yr (est.)",61727.0,Area Maintenance Manager,-1,-1,-1,Campbell Soup Company, NC,3.9,0,154,10000+ Employees,1869,Company - Public,Food & Beverage Manufacturing,Manufacturing,$5 to $10 billion (USD),3.6,4.0,3.6,3.4,3.6,2023-05-25 10:39:31.662019,yr
406,"$100,000 /yr (est.)",100000.0,Sr. Facilities Engineer,-1,-1,-1,BAXTER, AL,3.7,0,92,10000+ Employees,1931,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.5,3.7,3.7,3.2,3.5,2023-05-25 10:39:36.996618,yr
407,"$74,917 /yr (est.)",74917.0,Maintenance Engineer,-1,-1,-1,Kinder Morgan, TX,3.8,0,26,10000+ Employees,1997,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),3.5,3.7,3.4,3.2,3.3,2023-05-25 10:39:42.433319,yr
408,"$86,221 /yr (est.)",86221.0,Senior I/E Engineer - Ethane Cracker Unit,-1,-1,-1,TotalEnergies, TX,3.9,0,99,10000+ Employees,1924,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$25 to $100 million (USD),3.5,3.7,3.6,3.3,3.6,2023-05-25 10:39:47.696579,yr
409,"$156,000 /yr (est.)",156000.0,Regional Director of Maintenance - West,-1,-1,-1,Medline Industries Inc, CA,3.6,0,57,10000+ Employees,1966,Company - Private,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),3.6,3.5,3.5,3.3,3.2,2023-05-25 10:39:52.922081,yr
410,"$142,000 /yr (est.)",142000.0,Senior Rotating Equipment Maintenance Engineer,-1,-1,-1,OCI Beaumont, TX,3.1,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.5,2.7,2.8,3.4,2023-05-25 10:39:58.230380,yr
411,"$84,064 /yr (est.)",84064.0,Mechanical Maintenance Engineer,-1,-1,-1,LyondellBasell Industries, TX,4.0,0,16,10000+ Employees,2007,Company - Public,Chemical Manufacturing,Manufacturing,$10+ billion (USD),3.6,4.2,3.7,3.3,3.5,2023-05-25 10:40:04.845564,yr
412,"$70,992 /yr (est.)",70992.0,Facilities Engineer - Mechanical,-1,-1,-1,"Honda Development and Manufacturing of America, LLC.", AL,4.0,0,75,10000+ Employees,1948,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,3.6,3.9,3.7,3.4,3.5,2023-05-25 10:40:10.356449,yr
413,"$75,269 /yr (est.)",75269.0,Engineering Maintenance Technician,-1,-1,-1,Tesla, CA,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.4,3.1,2.9,2023-05-25 10:40:15.737859,yr
414,"$130,000 /yr (est.)",130000.0,Maintenance Manager,-1,-1,-1,Nor-Cal Beverage, CA,2.8,0,-1,-1,-1,-1,-1,-1,-1,2.6,3.0,2.5,2.3,2.1,2023-05-25 10:40:21.308205,yr
415,"$108,650 /yr (est.)",108650.0,Building Automation Engineer,-1,-1,-1,National Renewable Energy Laboratory, CO,3.9,0,45,1001 to 5000 Employees,1978,Government,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,3.7,3.6,4.0,3.3,4.0,2023-05-25 10:40:27.655938,yr
416,"$143,375 /yr (est.)",143375.0,Maintenance Manager,-1,-1,-1,Eaton Corporation, NC,3.9,0,112,10000+ Employees,1911,Company - Private,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.6,3.6,3.9,3.4,3.7,2023-05-25 10:40:33.104671,yr
417,"$75,000 /yr (est.)",75000.0,Associate Maintenance Engineer,-1,-1,-1,Calportland, CA,3.7,0,132,1001 to 5000 Employees,1891,Company - Private,Metal & Mineral Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.2,3.7,3.4,3.0,2.9,2023-05-25 10:40:38.534615,yr
418,"$84,116 /yr (est.)",84116.0,Maintenance & Reliability Engineer,-1,-1,-1,Cargill, PA,4.0,0,158,10000+ Employees,1865,Company - Private,Crop Production,Agriculture,Unknown / Non-Applicable,3.7,3.9,4.0,3.5,3.7,2023-05-25 10:40:43.900874,yr
419,"$79,926 /yr (est.)",79926.0,Mechanical Field Service Engineer,-1,-1,-1,Li-Cycle Corp, AZ,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.9,3.6,3.8,3.6,2023-05-25 10:40:49.096116,yr
420,"$95,000 /yr (est.)",95000.0,Maintenance Reliability Engineer II,-1,-1,-1,Specialty Granules, CA,3.5,0,100,501 to 1000 Employees,1923,Company - Private,Mining & Metals,"Energy, Mining & Utilities",$100 to $500 million (USD),4.3,3.8,3.4,2.9,3.1,2023-05-25 10:41:02.863558,yr
421,"$105,000 /yr (est.)",105000.0,Facilities Engineer,-1,-1,-1,Swarm Technologies, FL,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,2023-05-25 10:41:08.343143,yr
422,"$97,400 /yr (est.)",97400.0,Maintenance Engineer (Mechanical),-1,-1,-1,BASF Corporation, OH,3.8,0,158,10000+ Employees,1865,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD),3.6,4.1,3.7,3.2,3.5,2023-05-25 10:41:13.574962,yr
423,"$105,000 /yr (est.)",105000.0,Facilities Engineer,-1,-1,-1,SpaceX, FL,4.0,0,21,5001 to 10000 Employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.1,3.8,3.8,3.4,2.7,2023-05-25 10:41:18.983259,yr
424,"$102,500 /yr (est.)",102500.0,Mechanical Maintenance Engineer,-1,-1,-1,Seaport Canaveral, FL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 10:41:24.654238,yr
425,"$86,221 /yr (est.)",86221.0,Senior I/E Engineer - Ethane Cracker Unit,-1,-1,-1,TotalEnergies, TX,3.9,0,99,10000+ Employees,1924,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$25 to $100 million (USD),3.5,3.7,3.6,3.3,3.6,2023-05-25 10:41:31.591266,yr
426,"$69,604 /yr (est.)",69604.0,Maintenance Reliability Engineer - BFG3,-1,-1,-1,Michelin, AL,4.1,0,134,10000+ Employees,1889,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.6,4.1,3.6,3.9,2023-05-25 10:41:36.994550,yr
427,"$76,167 /yr (est.)",76167.0,Maintenance Reliability Engineer,-1,-1,-1,Loparex LLC, NC,3.2,0,117,Unknown,1906,Company - Private,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,3.0,3.8,2.7,2.4,3.3,2023-05-25 10:41:42.746689,yr
428,"$80,588 /yr (est.)",80588.0,Mechanical Maintenance & Reliability Engineer,-1,-1,-1,Indorama Ventures, TX,3.6,0,29,10000+ Employees,1994,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD),3.2,3.4,3.5,3.4,3.7,2023-05-25 10:41:48.950729,yr
429,"$112,258 /yr (est.)",112258.0,"Manager-Engineering Operations - Facilities Management (1.0 FTE, Days)",-1,-1,-1,Lucile Packard Children's Hospital, CA,4.0,0,32,5001 to 10000 Employees,1991,Hospital,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.6,4.2,3.8,3.4,3.6,2023-05-25 10:41:54.477015,yr
430,"$71,642 /yr (est.)",71642.0,Facilities Engineer,-1,-1,-1,Cytiva, SC,3.8,0,3,5001 to 10000 Employees,2020,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),3.5,3.6,3.8,3.3,3.8,2023-05-25 10:42:00.123814,yr
431,"$100,000 /yr (est.)",100000.0,Sr. Facilities Engineer,-1,-1,-1,BAXTER, AL,3.7,0,92,10000+ Employees,1931,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.5,3.7,3.7,3.2,3.5,2023-05-25 10:42:05.373554,yr
432,"$142,000 /yr (est.)",142000.0,Senior Rotating Equipment Maintenance Engineer,-1,-1,-1,OCI Beaumont, TX,3.1,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.5,2.7,2.8,3.4,2023-05-25 10:42:10.949321,yr
433,"$72,656 /yr (est.)",72656.0,Director of Maintenance,-1,-1,-1,ProPetro Services, TX,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.2,3.3,3.1,2.8,2.5,2023-05-25 10:42:16.671862,yr
434,"$61,727 /yr (est.)",61727.0,Area Maintenance Manager,-1,-1,-1,Campbell Soup Company, NC,3.9,0,154,10000+ Employees,1869,Company - Public,Food & Beverage Manufacturing,Manufacturing,$5 to $10 billion (USD),3.6,4.0,3.6,3.4,3.6,2023-05-25 10:42:22.314946,yr
435,"$100,997 /yr (est.)",100997.0,I & E Engineer,-1,-1,-1,BASF Corporation, TX,3.8,0,158,10000+ Employees,1865,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD),3.6,4.1,3.7,3.2,3.5,2023-05-25 10:42:27.936841,yr
436,"$130,000 /yr (est.)",130000.0,Maintenance Manager,-1,-1,-1,Nor-Cal Beverage, CA,2.8,0,-1,-1,-1,-1,-1,-1,-1,2.6,3.0,2.5,2.3,2.1,2023-05-25 10:42:33.484281,yr
437,"$74,917 /yr (est.)",74917.0,Maintenance Engineer,-1,-1,-1,Kinder Morgan, TX,3.8,0,26,10000+ Employees,1997,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),3.5,3.7,3.4,3.2,3.3,2023-05-25 10:42:39.725828,yr
438,"$143,375 /yr (est.)",143375.0,Maintenance Manager,-1,-1,-1,Eaton Corporation, NC,3.9,0,112,10000+ Employees,1911,Company - Private,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.6,3.6,3.9,3.4,3.7,2023-05-25 10:42:44.990522,yr
439,"$76,652 /yr (est.)",76652.0,Maintenance Manager,-1,-1,-1,Mondelēz International, IL,4.0,0,11,10000+ Employees,2012,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.6,3.8,3.9,3.5,3.6,2023-05-25 10:42:50.500687,yr
440,"$86,500 /yr (est.)",86500.0,Maintenance Planner/Scheduler,-1,-1,-1,SLAC National Accelerator Laboratory, CA,4.1,0,61,1001 to 5000 Employees,1962,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,3.9,3.7,3.8,3.3,3.8,2023-05-25 10:42:57.172556,yr
441,"$94,745 /yr (est.)",94745.0,"Maintenance and Operations, Energy Management Control System Engineer",-1,-1,-1,JPL/NASA, CA,4.4,0,87,5001 to 10000 Employees,1936,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.3,3.8,4.4,3.9,4.3,2023-05-25 10:43:02.873969,yr
442,"$56,592 /yr (est.)",56592.0,Maintenance Engineer,-1,-1,-1,Ocado Group, GA,3.5,0,23,10000+ Employees,2000,Company - Public,Grocery Stores,Retail & Wholesale,$1 to $5 billion (USD),3.2,3.3,3.3,3.1,3.2,2023-05-25 10:43:08.464127,yr
443,"$69,108 /yr (est.)",69108.0,Maintenance Engineer,-1,-1,-1,Commercial Metals Company, NJ,3.9,0,108,10000+ Employees,1915,Company - Public,Metal & Mineral Manufacturing,Manufacturing,$5 to $25 million (USD),3.9,4.0,3.9,3.8,3.7,2023-05-25 10:43:13.480226,yr
