,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
55,"$172,000 /yr (est.)",172000.0,"Software Engineer, Computer Vision",0,1,-1,"Meta
3.9",Remote,3.9,1,19,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-05-24 00:47:44.642935,yr
56,"$120,000 /yr (est.)",120000.0,Machine Learning Research Engineer,4,1,-1,"Leidos
3.9", MI,3.9,0,54,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.8,3.6,3.8,3.6,4.0,2023-05-24 00:47:46.972116,yr
57,"$116,060 /yr (est.)",116060.0,Staff Software Engineer - Deep Learning Acceleration,5,1,1,"Aurora Innovation
3.9", CO,3.9,0,6,201 to 500 Employees,2017,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.6,4.1,3.9,3.9,3.8,2023-05-24 00:47:49.101251,yr
58,"$109,740 /yr (est.)",109740.0,Senior Machine Learning Engineer,-1,-1,-1,"Vanguard
3.6", PA,3.6,0,48,10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.6,3.4,3.8,3.2,3.9,2023-05-24 00:48:00.618038,yr
59,"$150,000 /yr (est.)",150000.0,Computer Vision AI Engineer,3,2,-1,"Ianuly Talent Accelerators
4.6",United States,4.6,0,14,1 to 50 Employees,2009,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.3,4.3,4.4,5.0,4.8,2023-05-24 00:48:03.186754,yr
61,"$137,755 /yr (est.)",137755.0,"Machine Learning Engineer – 3D computer vision, Autopilot AI",0,2,-1,"Tesla
3.6", CA,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.4,3.1,2.9,2023-05-24 00:48:08.579379,yr
63,"$208,400 /yr (est.)",208400.0,Software Engineer - Machine Learning Infrastructure,0,1,1,"ByteDance
4.0", CA,4.0,0,11,10000+ Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.6,3.3,2023-05-24 00:48:14.936767,yr
65,"$90,623 /yr (est.)",90623.0,Machine Learning Engineer - Multimodal Deep Learning,3,1,-1,"Eduworks Corporation
4.5", OR,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.5,4.5,4.5,4.5,2023-05-24 00:48:21.452624,yr
66,"$120,894 /yr (est.)",120894.0,Machine Learning Engineer- Computer Vision,0,1,-1,"STR
4.2", MA,4.2,0,13,501 to 1000 Employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.3,4.5,4.1,4.0,4.1,2023-05-24 00:48:24.794918,yr
67,"$205,000 /yr (est.)",205000.0,Senior Machine Learning Engineer,0,2,-1,"Lambda
4.0",Remote,4.0,1,-1,-1,-1,-1,-1,-1,-1,4.1,4.0,4.1,3.6,3.8,2023-05-24 00:48:27.003723,yr
68,"$207,125 /yr (est.)",207125.0,Senior Deep Learning Engineer - Drug Discovery AI,5,1,1,"Oski Technology
4.6", CA,4.6,0,30,10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),4.5,4.5,4.6,4.4,4.2,2023-05-24 00:48:30.162859,yr
69,"$141,015 /yr (est.)",141015.0,Deep Learning Senior Software Engineer,8,1,1,"California Institute of Technology
4.3", CA,4.3,0,132,1001 to 5000 Employees,1891,College / University,Colleges & Universities,Education,$100 to $500 million (USD),4.2,3.8,4.0,3.7,3.3,2023-05-24 00:48:32.413732,yr
70,"$187,500 /yr (est.)",187500.0,Staff Machine Learning Engineer,0,2,-1,"Runway AI
5.0",Remote,5.0,1,5,1 to 50 Employees,2018,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-05-24 00:48:34.709053,yr
71,"$104,694 /yr (est.)",104694.0,Computer Vision Engineer,0,1,-1,"AGCO
3.9", IL,3.9,0,33,10000+ Employees,1990,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.6,3.6,3.3,3.5,2023-05-24 00:48:36.926988,yr
72,"$103,711 /yr (est.)",103711.0,Machine Learning Engineer I,5,1,-1,"Broad Institute
4.4", MA,4.4,0,19,1001 to 5000 Employees,2004,Nonprofit Organization,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),4.2,3.9,4.6,4.0,4.1,2023-05-24 00:48:39.112769,yr
74,"$132,499 /yr (est.)",132499.0,Computer Vision Engineer,3,1,-1,"Vimaan Robotics
3.5", CA,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.2,2.7,3.1,3.0,2.7,2023-05-24 00:48:44.802420,yr
75,"$113,934 /yr (est.)",113934.0,Software Engineer 1 - Machine Learning,0,1,-1,"Abacus.AI
4.9", CA,4.9,0,4,51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.8,4.8,4.7,5.0,4.6,2023-05-24 00:48:47.808170,yr
76,"$155,332 /yr (est.)",155332.0,Machine Learning Software Engineer,3,1,1,"Genentech
4.3", CA,4.3,0,47,10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.8,4.3,4.1,3.6,4.0,2023-05-24 00:48:50.062409,yr
77,"$130,296 /yr (est.)",130296.0,Computer Vision Software Engineer,0,2,-1,"Valve Software
4.4", WA,4.4,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.2,3.7,3.3,3.9,2023-05-24 00:48:52.828918,yr
78,"$150,000 /yr (est.)",150000.0,Machine Learning Engineer,2,1,-1,"Hive
3.8", WA,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.6,3.7,3.0,4.1,2023-05-24 00:48:55.993935,yr
79,"$185,000 /yr (est.)",185000.0,Senior/Staff Deep Learning Engineer,8,1,1,"Hayden AI Technologies
5.0", CA,5.0,0,4,51 to 200 Employees,2019,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),5.0,5.0,5.0,5.0,5.0,2023-05-24 00:48:59.183752,yr
80,"$113,748 /yr (est.)",113748.0,Staff Computer Vision Deep Learning Engineer,0,1,-1,"Applied Research Associates, Inc
4.2", NC,4.2,0,44,1001 to 5000 Employees,1979,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.0,4.0,4.3,4.1,4.3,2023-05-24 00:49:01.533020,yr
81,"$118,678 /yr (est.)",118678.0,Senior Deep Learning Engineer (Computer Vision,0,1,1,Approgence Inc., CA,-1,0,17,1 to 50 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),-1,-1,-1,-1,-1,2023-05-24 00:49:03.867453,yr
82,"$175,000 /yr (est.)",175000.0,Senior Machine Learning Engineer,5,1,1,"Transcarent
3.8",Remote,3.8,1,3,201 to 500 Employees,2020,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,4.5,4.4,3.7,3.7,3.7,2023-05-24 00:49:08.134529,yr
83,"$128,202 /yr (est.)",128202.0,Machine Learning Engineer / A.I.,0,1,-1,"Gaea Global Technologies, In
4.7", CA,4.7,0,16,51 to 200 Employees,2007,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),4.4,4.3,4.6,4.5,4.2,2023-05-24 00:49:10.516900,yr
84,"$140,324 /yr (est.)",140324.0,Deep Learning Engineer,-1,-1,-1,"Matroid
4.7", CA,4.7,0,7,1 to 50 Employees,2016,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.5,4.2,4.2,4.2,4.8,2023-05-24 00:49:13.217237,yr
85,"$144,500 /yr (est.)",144500.0,Machine Learning Engineer,0,1,-1,"Hayden AI Technologies
5.0", CA,5.0,0,4,51 to 200 Employees,2019,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),5.0,5.0,5.0,5.0,5.0,2023-05-24 00:49:16.227693,yr
